Trawl code,Shrimp,LC,LT,W,DryW,stage
505/22,1,23,95,6.79,0.0862,1
505/22,2,23.3,91,7.53,0.0517,1
505/4,3,23,91,7.19,0.193,2
505/4,4,24,97,9.48,0.1159,2
505/4,5,25,95,9.19,0.1342,1
505/4,6,27.3,106,11.61,0.7106,1
505/4,7,25.7,101,9.85,0.5725,1
505/4,8,24,97,7.86,0.5312,2
505/4,9,22.8,92,6.67,0.3459,2
505/4,10,23.3,89,7.42,0.4184,1
505/5,11,24.7,99,7.68,0.4353,1
505/5,12,25,99,8.87,0.4565,1
505/28,13,21.7,91,5.5,0.3116,1
505/28,14,25.5,98,8.87,0.457,1
505/28,15,22.5,88,6.57,0.2681,1
505/28,16,25.5,100,8.36,0.5076,2
505/28,17,24.5,97,9.32,0.3694,1
505/04,18,24.5,93,9.48,0.1626,
505/04,19,25,101,9.45,0.0891,
505/04,20,21.7,89,6.18,0.0575,
505/04,21,23.5,88,7.06,0.093,
505/04,23,25.5,101,9.88,0.2105,
505/04,24,23,99,7.5,0.1114,
505/04,25,22.9,85,6.66,0.0536,
505/04,26,24.2,96,7.77,0.0839,
505/04,27,24.1,96,8.15,0.1037,
505/04,28,23.2,98,8.15,0.0877,
505/04,29,22.5,89,6.64,0.037,
505/04,30,23.2,91,7.45,0.0812,
505/04,31,23,95,7.21,0.0719,
505/04,32,22.8,90,6.91,0.0884,
505/22,33,24.2,98,7.83,0.1382,1
505/22,34,24,96,7.92,0.128,2
505/22,35,24.7,99,9.09,0.0961,1
505/22,36,24,94,7.98,0.1044,1
505/22,37,22.7,86,6.49,0.0591,1
505/22,38,25,96,8.77,0.1174,1
505/22,39,23.4,95,7.7,0.1261,1
505/22,40,25.1,99,9.09,0.1443,1
505/22,41,23.2,91,7.31,0.074,1
505/22,42,22.6,95,7.08,0.0474,1
505/22,43,24.7,90,8.16,0.1601,2
505/22,44,22.6,95,6.63,0.0952,1
505/22,45,23.2,89,8.52,0.1342,1
